artist,uri
Cunninlynguists, spotify:artist:7EA0bLf8dXCIUkwC3lnaJa
J. Cole, spotify:artist:6l3HvQ5sa6mXTsMTB19rO5
Masta Ace, spotify:artist:1wo9h8DP7M0M1orKuGZgWv
Common, spotify:artist:2GHclqNVjqGuiE5mA7BEoc
Big L, spotify:artist:30fiiwr2EeZp1tAhzYCmyM
Jedi Mind Tricks, spotify:artist:0PI3pXpUMScjweiw3IbADc
Pharoahe Monch, spotify:artist:5DKuVtlpDH0agZQUFDy8O7
Binary Star, spotify:artist:1bulNj9KHvx8haqJBFDSyz
MF DOOM, spotify:artist:2pAWfrd7WFF3XhVt9GooDL
R.A. The Rugged Man, spotify:artist:3mUHAiDazZq75gh6If5zoD
Brother Ali, spotify:artist:6CsleyOZtyt16saX8WhzDx
Dilated Peoples, spotify:artist:56OMwqr8qaLIRH4ZrvvdXq
Method Man, spotify:artist:4VmEWwd8y9MCLwexFMdpwt
Fat Joe, spotify:artist:3ScY9CQxNLQei8Umvpx5g6
Ja Rule, spotify:artist:1J2VVASYAamtQ3Bt8wGgA6
2Pac, spotify:artist:1ZwdS5xdxEREPySFridCfh
The Notorious B.I.G., spotify:artist:5me0Irg2ANcsgc93uaYrpb
The Pharcyde, spotify:artist:7yk35uHNQclPXFGFoTU44w
Coolio, spotify:artist:3y24n3XhZ96wgwRXjvS17T
OutKast, spotify:artist:1G9G7WwrXka3Z1r7aIDjI7
Eric B. & Rakim, spotify:artist:6jHG1YQkqgojdEzerwvrVv
JAY Z, spotify:artist:3nFkdlSjzX9mRTtwJOzDYB
50 Cent, spotify:artist:3q7HBObVc0L8jNeTe5Gofh
Black Moon, spotify:artist:2yN6bq26wynQcRuPkBYTDb
Isaiah Rashad, spotify:artist:6aaMZ3fcfLv4tEbmY7bjRM
Pete Rock & C.L. Smooth, spotify:artist:3fJ60AcIgLzQkVitEvA7uq
Pete Rock, spotify:artist:3BeQqzKdlARoOd6y30kCO2
LL Cool J, spotify:artist:1P8IfcNKwrkQP5xJWuhaOC
A Tribe Called Quest, spotify:artist:09hVIj6vWgoCDtT03h8ZCa
Big Daddy Kane, spotify:artist:6futYSDVulYR2PktBjTB5W
The Roots, spotify:artist:78xUyw6FkVZrRAtziFdtdu
Visionaries, spotify:artist:5wLxEotB2W1L7U4rDyTd3w
Joey Bada$$, spotify:artist:2P5sC9cVZDToPxyomzF1UH
De La Soul, spotify:artist:1Z8ODXyhEBi3WynYw0Rya6
Freddie Gibbs, spotify:artist:0Y4inQK6OespitzD6ijMwb
Big Gigantic, spotify:artist:7o7mC95EDbJKTcPAAs8C3r
Logic, spotify:artist:4xRYI6VqpkE3UwrDrAZL8L
Fugees, spotify:artist:2WKdxPFRD7IqZvlIAvhMgY
Big Pun, spotify:artist:2Xu7q46Hf02xOoEIm4E1Qs
Rakim, spotify:artist:3PyWEKLWI0vHPmoNrIX0QE
Wale, spotify:artist:67nwj3Y5sZQLl72VNUHEYE
Busta Rhymes, spotify:artist:1YfEcTuGvBQ8xSD1f53UnK
Nelly, spotify:artist:2gBjLmx6zQnFGQJCAQpRgw
Obie Trice, spotify:artist:2XnnxQzxFZG8qEPjakokPM
D12, spotify:artist:5Qi4Bb7a8C0a00NZcA77L0
Eminem, spotify:artist:7dGJo4pcD2V6oG8kP0tJRR
Lloyd Banks, spotify:artist:3vDUJHQtqT3jFRZ2ECXDTi
Snoop Dogg, spotify:artist:7hJcb9fa4alzcOq3EaNPoG
Bow wow, spotify:artist:7352aRY2mqSxBZwzUb6LmA
The Game, spotify:artist:0NbfKEOTQCcwd6o7wSDOHI
Twista, spotify:artist:6vbY3hOaCAhC7VjucswgdS
G-Unit, spotify:artist:6evKD5JWJON3qPBJtUEmtY
Ice Cube, spotify:artist:3Mcii5XWf6E0lrY3Uky4cA
Birdman, spotify:artist:35sCXuy5gN6Or69rZ9vqBs
Mannie Fresh, spotify:artist:0fbFfVckGKsDbAfYnB5mD1
Boyz N Da Hood, spotify:artist:030sRm1rnXI9MeQ23pdax8
Slim Thug, spotify:artist:0st5vgzw9XkH5ALJiUM1lE
Bad Meets Evil, spotify:artist:77IURH5NC56Jn09QHi76is
Dr. Dre, spotify:artist:6DPYiyq5kWVQS4RGwxzPC7
Twista & The Speedknot Mobstaz, spotify:artist:4GPtK36ooOMeBnA4eWmP6X
Juvenile, spotify:artist:0rG0AZBscc8S8q1ahIsasI
Big Tymers, spotify:artist:4jWGfUCFeTu5e0wprRhHXR
A$AP Rocky, spotify:artist:13ubrt8QOOCPljQ2FL1Kca
Warm Brew, spotify:artist:51YACffgZvQwjs8J4ZVDQF
TUT, spotify:artist:5AHYJu7f82zQBAfRkLBPBu
EARTHGANG, spotify:artist:5MbNzCW3qokGyoo9giHA3V
Flatbush Zombies, spotify:artist:1dqGS5sT6PE2wEvP1gROZC
Nas, spotify:artist:20qISvAhX20dpIbOOzGK3q
A$AP Ferg, spotify:artist:5dHt1vcEm9qb8fCyLcB3HL
Chris Webby, spotify:artist:3IstlZaHyUP9SONpulb4SM
